Name,Unit,Minimum,Maximum,Average
Apple(Jholey),Kg,Rs. 190,Rs. 200,195.00
Arum,Kg,Rs. 60,Rs. 70,65.00
Bakula,Kg,Rs. 100,Rs. 110,105.00
Bamboo Shoot,Kg,Rs. 70,Rs. 80,75.00
Banana,Doz,Rs. 90,Rs. 100,95.00
Barela,Kg,Rs. 50,Rs. 60,55.00
Bitter Gourd,Kg,Rs. 120,Rs. 140,130.00
Bottle Gourd,Kg,Rs. 50,Rs. 60,55.00
Brd Leaf Mustard,Kg,Rs. 40,Rs. 50,45.00
Brinjal Round,Kg,Rs. 50,Rs. 60,55.00
Brocauli,Kg,Rs. 60,Rs. 70,65.00
Cabbage,Kg,Rs. 15,Rs. 20,17.50
Cabbage(Local),Kg,Rs. 15,Rs. 20,17.50
Cabbage(Terai),Kg,Rs. 12,Rs. 16,14.00
Capsicum,Kg,Rs. 60,Rs. 70,65.00
Carrot(Local),Kg,Rs. 50,Rs. 60,55.00
Carrot(Terai),Kg,Rs. 40,Rs. 50,45.00
Cauli Local,Kg,Rs. 30,Rs. 40,35.00
Cauli Terai,Kg,Rs. 20,Rs. 30,25.00
Celery,Kg,Rs. 220,Rs. 250,235.00
Chilli Dry,Kg,Rs. 320,Rs. 330,325.00
Chilli Green,Kg,Rs. 80,Rs. 90,85.00
Chilli Green(Bullet),KG,Rs. 50,Rs. 60,55.00
Christophine,Kg,Rs. 50,Rs. 60,55.00
Coriander Green,Kg,Rs. 90,Rs. 100,95.00
Cress Leaf,Kg,Rs. 80,Rs. 90,85.00
Cucumber(Hybrid),KG,Rs. 30,Rs. 40,35.00
Fennel Leaf,Kg,Rs. 80,Rs. 90,85.00
Fenugreek Leaf,Kg,Rs. 50,Rs. 60,55.00
Fish Fresh(Bachuwa),KG,Rs. 230,Rs. 240,235.00
Fish Fresh(Chhadi),KG,Rs. 210,Rs. 230,220.00
Fish Fresh(Mungari),KG,Rs. 260,Rs. 270,265.00
Fish Fresh(Rahu),KG,Rs. 270,Rs. 280,275.00
French Bean(Local),Kg,Rs. 80,Rs. 90,85.00
Garlic Dry Chinese,Kg,Rs. 370,Rs. 390,380.00
Garlic Green,Kg,Rs. 70,Rs. 80,75.00
Grapes(Black),Kg,Rs. 250,Rs. 270,260.00
Grapes(Green),Kg,Rs. 130,Rs. 150,140.00
Green Peas,Kg,Rs. 50,Rs. 60,55.00
Guava,Kg,Rs. 80,Rs. 90,85.00
Gundruk,Kg,Rs. 220,Rs. 250,235.00
Jack Fruit,Kg,Rs. 80,Rs. 90,85.00
Kinnow,Kg,Rs. 60,Rs. 70,65.00
Kiwi,Kg,Rs. 250,Rs. 280,265.00
Knolkhol,Kg,Rs. 80,Rs. 90,85.00
Lettuce,Kg,Rs. 80,Rs. 90,85.00
Lime,Kg,Rs. 130,Rs. 150,140.00
Mint,Kg,Rs. 220,Rs. 250,235.00
Mombin,Kg,Rs. 35,Rs. 40,37.50
Mushroom(Button),KG,Rs. 260,Rs. 280,270.00
Mushroom(Kanya),Kg,Rs. 150,Rs. 160,155.00
Mustard Leaf,Kg,Rs. 50,Rs. 60,55.00
Okara,Kg,Rs. 100,Rs. 110,105.00
Onion Dry (Indian),Kg,Rs. 70,Rs. 75,72.50
Orange(Nepali),Kg,Rs. 150,Rs. 170,160.00
Parseley,Kg,Rs. 350,Rs. 400,375.00
Pear(Chinese),Kg,Rs. 260,Rs. 270,265.00
Pineapple,1 Pc,Rs. 140,Rs. 150,145.00
Pomegranate,Kg,Rs. 280,Rs. 300,290.00
Potato Red,Kg,Rs. 25,Rs. 30,27.50
Potato Red(Indian),KG,Rs. 25,Rs. 30,27.50
Potato White,Kg,Rs. 18,Rs. 20,19.00
Pumpkin,Kg,Rs. 30,Rs. 40,35.00
Raddish White(Hybrid),Kg,Rs. 40,Rs. 45,42.50
Raddish White(Local),Kg,Rs. 30,Rs. 35,32.50
Red Cabbbage,Kg,Rs. 90,Rs. 100,95.00
Spinach Leaf,Kg,Rs. 50,Rs. 60,55.00
Squash(Long),Kg,Rs. 40,Rs. 50,45.00
Squash(Round),Kg,Rs. 50,Rs. 60,55.00
Strawberry,Kg,Rs. 550,Rs. 600,575.00
Sugarbeet,Kg,Rs. 80,Rs. 90,85.00
Sugarcane,1 Pc,Rs. 70,Rs. 80,75.00
Sweet Potato,Kg,Rs. 60,Rs. 70,65.00
Sword Bean,Kg,Rs. 60,Rs. 70,65.00
Tamarind,Kg,Rs. 140,Rs. 150,145.00
Tofu,Kg,Rs. 70,Rs. 80,75.00
Tomato Big(Indian),Kg,Rs. 50,Rs. 60,55.00
Tomato Small(Indian),KG,Rs. 25,Rs. 30,27.50
Tomato Small(Terai),KG,Rs. 25,Rs. 30,27.50
Turnip,Kg,Rs. 70,Rs. 80,75.00
Turnip A,Kg,Rs. 70,Rs. 80,75.00
